game_id,game_day,home_team,away_team,home_score,away_score,is_conference,is_neutral,tournament
401482897,2022-11-07,The Citadel Bulldogs,Clemson Tigers,69,80,False,False,
401482906,2022-11-07,Jacksonville Dolphins,Duke Blue Devils,44,71,False,False,
401482914,2022-11-07,Stetson Hatters,Florida State Seminoles,83,74,False,False,
401482965,2022-11-07,UT Martin Skyhawks,Pittsburgh Panthers,58,80,False,False,
401482929,2022-11-07,Lafayette Leopards,Miami Hurricanes,54,67,False,False,
401488558,2022-11-07,Clayton State Lakers,Georgia Tech Yellow Jackets,63,93,False,False,
401482889,2022-11-07,Cornell Big Red,Boston College Eagles,77,79,False,False,
401482938,2022-11-07,Austin Peay Governors,NC State Wolfpack,50,99,False,False,
401482974,2022-11-07,Lehigh Mountain Hawks,Syracuse Orange,72,90,False,False,
401482999,2022-11-07,Fairfield Stags,Wake Forest Demon Deacons,59,71,False,False,
401482947,2022-11-07,UNC Wilmington Seahawks,North Carolina Tar Heels,56,69,False,False,
401482983,2022-11-07,North Carolina Central Eagles,Virginia Cavaliers,61,73,False,False,
401482991,2022-11-07,Delaware State Hornets,Virginia Tech Hokies,57,95,False,False,
401485295,2022-11-09,Bellarmine Knights,Louisville Cardinals,67,66,False,False,
401482992,2022-11-10,Lehigh Mountain Hawks,Virginia Tech Hokies,52,78,False,False,
401482955,2022-11-10,Radford Highlanders,Notre Dame Fighting Irish,76,79,False,False,
401482890,2022-11-11,Detroit Mercy Titans,Boston College Eagles,66,70,False,False,
401482907,2022-11-11,South Carolina Upstate Spartans,Duke Blue Devils,38,84,False,False,
401482898,2022-11-11,Clemson Tigers,South Carolina Gamecocks,58,60,False,False,
401482915,2022-11-11,Florida State Seminoles,UCF Knights,54,68,False,False,
401482930,2022-11-11,UNC Greensboro Spartans,Miami Hurricanes,65,79,False,False,
401482939,2022-11-11,Campbell Fighting Camels,NC State Wolfpack,67,73,False,False,
401482948,2022-11-11,Charleston Cougars,North Carolina Tar Heels,86,102,False,False,
401482966,2022-11-11,West Virginia Mountaineers,Pittsburgh Panthers,81,56,False,False,
401483000,2022-11-11,Georgia Bulldogs,Wake Forest Demon Deacons,71,81,False,False,
401482984,2022-11-11,Monmouth Hawks,Virginia Cavaliers,42,89,False,False,
401488701,2022-11-12,Wright State Raiders,Louisville Cardinals,73,72,False,False,
401482922,2022-11-12,Georgia Tech Yellow Jackets,Georgia State Panthers,59,57,False,False,
401482956,2022-11-13,Youngstown State Penguins,Notre Dame Fighting Irish,81,88,False,False,
401482993,2022-11-13,William & Mary Tribe,Virginia Tech Hokies,77,94,False,False,
401482891,2022-11-14,Maine Black Bears,Boston College Eagles,69,64,False,False,
401482916,2022-11-14,Troy Trojans,Florida State Seminoles,79,72,False,False,
401488663,2022-11-15,App State Mountaineers,Louisville Cardinals,61,60,False,False,
401482899,2022-11-15,South Carolina Upstate Spartans,Clemson Tigers,70,81,False,False,
401482931,2022-11-15,Florida A&M Rattlers,Miami Hurricanes,61,87,False,False,
401482975,2022-11-15,Colgate Raiders,Syracuse Orange,80,68,False,False,
401483001,2022-11-15,Utah Valley Wolverines,Wake Forest Demon Deacons,65,68,False,False,
401482949,2022-11-15,Gardner-Webb Runnin' Bulldogs,North Carolina Tar Heels,66,72,False,False,
401482940,2022-11-15,Florida International Panthers,NC State Wolfpack,74,107,False,False,
401482908,2022-11-15,Duke Blue Devils,Kansas Jayhawks,64,69,False,True,State Farm Champions Classic
401482967,2022-11-16,Michigan Wolverines,Pittsburgh Panthers,91,60,False,True,Legends Classic
401482957,2022-11-16,Southern Indiana Screaming Eagles,Notre Dame Fighting Irish,70,82,False,False,Gotham Classic - Campus Game
401482994,2022-11-17,Old Dominion Monarchs,Virginia Tech Hokies,71,75,False,True,Shriners Children's Charleston Classic
401486295,2022-11-17,Pittsburgh Panthers,VCU Rams,67,71,False,True,Legends Classic
401482923,2022-11-17,Northern Illinois Huskies,Georgia Tech Yellow Jackets,50,68,False,False,Fort Myers Tip-Off - Campus Game
401486298,2022-11-18,Penn State Nittany Lions,Virginia Tech Hokies,59,61,False,True,Shriners Children's Charleston Classic
401483002,2022-11-18,La Salle Explorers,Wake Forest Demon Deacons,63,75,False,True,Jamaica Classic
401482900,2022-11-18,Bellarmine Knights,Clemson Tigers,66,76,False,False,
401482909,2022-11-18,Delaware Blue Hens,Duke Blue Devils,58,92,False,False,
401482958,2022-11-18,Lipscomb Bisons,Notre Dame Fighting Irish,65,66,False,False,
401482986,2022-11-18,Virginia Cavaliers,Baylor Bears,86,79,False,True,Main Event
401482917,2022-11-18,Florida Gators,Florida State Seminoles,76,67,False,False,
401482892,2022-11-18,Boston College Eagles,George Mason Patriots,71,56,False,True,Paradise Jam
401482941,2022-11-19,Elon Phoenix,NC State Wolfpack,63,74,False,False,
401482932,2022-11-19,Miami Hurricanes,Providence Friars,74,64,False,True,Basketball Hall of Fame Tip-Off
401482976,2022-11-19,Northeastern Huskies,Syracuse Orange,48,76,False,False,
401482950,2022-11-20,James Madison Dukes,North Carolina Tar Heels,64,80,False,False,
401486451,2022-11-20,Miami Hurricanes,Maryland Terrapins,70,88,False,True,Basketball Hall of Fame Tip-Off presented by Lowe's
401482968,2022-11-20,Alabama State Hornets,Pittsburgh Panthers,54,73,False,False,
401486434,2022-11-20,Wake Forest Demon Deacons,Loyola Marymount Lions,75,77,False,True,Jamaica Classic
401497570,2022-11-20,Illinois Fighting Illini,Virginia Cavaliers,61,70,False,True,Main Event
401486304,2022-11-20,Virginia Tech Hokies,Charleston Cougars,75,77,False,False,Shriners Children's Charleston Classic
401486446,2022-11-20,Tarleton State Texans,Boston College Eagles,70,54,False,True,Paradise Jam
401486689,2022-11-21,Louisville Cardinals,Arkansas Razorbacks,54,80,False,True,Maui Jim Maui Invitational
401486449,2022-11-21,Wyoming Cowboys,Boston College Eagles,48,59,False,True,Paradise Jam
401482924,2022-11-21,Utah Utes,Georgia Tech Yellow Jackets,68,64,False,True,Fort Myers Tip-Off - Beach Division
401482918,2022-11-21,Mercer Bears,Florida State Seminoles,72,81,False,False,
401482901,2022-11-21,Loyola Maryland Greyhounds,Clemson Tigers,41,72,False,False,Emerald Coast Classic - Campus Game
401482977,2022-11-21,Syracuse Orange,Richmond Spiders,74,71,False,True,Vivid Seats Empire Classic
401482910,2022-11-21,Bellarmine Knights,Duke Blue Devils,57,74,False,False,
401486693,2022-11-22,Texas Tech Red Raiders,Louisville Cardinals,70,38,False,True,Maui Jim Maui Invitational
401482959,2022-11-22,Bowling Green Falcons,Notre Dame Fighting Irish,66,82,False,False,Gotham Classic - Campus Game
401482969,2022-11-22,Fairleigh Dickinson Knights,Pittsburgh Panthers,61,83,False,False,
401486676,2022-11-22,Syracuse Orange,St. John's Red Storm,69,76,False,True,Vivid Seats Empire Classic
401482942,2022-11-23,NC State Wolfpack,Kansas Jayhawks,74,80,False,True,Bad Boy Mowers Battle 4 Atlantis
401486310,2022-11-23,Marquette Golden Eagles,Georgia Tech Yellow Jackets,84,60,False,True,Fort Myers Tip-Off - Beach Division
401482933,2022-11-23,St. Francis Brooklyn Terriers,Miami Hurricanes,56,79,False,False,
401486697,2022-11-23,Louisville Cardinals,Cincinnati Bearcats,62,81,False,True,Maui Jim Maui Invitational
401483003,2022-11-23,South Carolina State Bulldogs,Wake Forest Demon Deacons,74,105,False,False,
401486728,2022-11-24,Florida State Seminoles,Siena Saints,63,80,False,True,ESPN Events Invitational
401482951,2022-11-24,North Carolina Tar Heels,Portland Pilots,89,81,False,True,Phil Knight Invitational
401482911,2022-11-24,Duke Blue Devils,Oregon State Beavers,54,51,False,True,Phil Knight Legacy
401486718,2022-11-24,Dayton Flyers,NC State Wolfpack,64,76,False,True,Bad Boy Mowers Battle 4 Atlantis
401486729,2022-11-25,Florida State Seminoles,Stanford Cardinal,60,70,False,True,ESPN Events Invitational
401486746,2022-11-25,Duke Blue Devils,Xavier Musketeers,71,64,False,True,Phil Knight Legacy
401482960,2022-11-25,Notre Dame Fighting Irish,St. Bonaventure Bonnies,51,63,False,True,Gotham Classic
