home_team,away_team,home_score,away_score,point_spread,is_conference,is_neutral,home_advantage,off_eff_diff,def_eff_diff,adj_off_eff_diff,adj_def_eff_diff,efg_pct_diff,ts_pct_diff,threepar_diff,ftr_diff,luck_diff,net_rating_diff,rating_luck_interaction,shooting_strength_interaction
Denver Pioneers,Stanford Cardinal,62,85,-23,0,0,-23.0,-24.803020990854847,18.446550468099687,-17.47493472874696,8.521061197476257,-0.0228585040678402,-0.0267587076423765,-0.0677005963760331,0.150681252434192,0.0396594342110479,-25.99599592622321,-1.0309864901867187,0.5942295786271306
Charleston Southern Buccaneers,Clemson Tigers,64,91,-27,0,0,-14.4,-17.52842530989669,20.182234638589406,-11.058137061312904,14.984880465772989,-0.0724998571654519,-0.0706941143379574,0.0044907731566947,0.1029014364665567,0.2601091406941276,-26.043017527085897,-6.774026910052417,1.888115050871088
Morehead State Eagles,Louisville Cardinals,45,93,-48,0,0,-37.5,-38.15276683518151,30.88833905263364,-29.50108790072609,28.091560448155676,-0.1926436419955859,-0.1666289161229354,-0.1782602123486122,0.0637211132974197,0.1179903789209983,-57.59264834888177,-6.7953784017483665,11.09485753009965
Maine Black Bears,Duke Blue Devils,62,96,-34,0,0,-34.0,-35.31948582182342,39.52403653446101,-15.801759009812171,19.89204685773393,-0.1737153903949691,-0.1299448120930934,-0.2214491083690812,-0.0214621007943187,0.0938805755386048,-35.693805867546104,-3.350955038008457,6.20056342096301
Le Moyne Dolphins,Syracuse Orange,82,86,-4,0,0,-24.666666666666668,-14.300730274749228,17.964453247729992,-14.55060512142346,12.743496845560571,-0.0359861045754884,-0.0328721826675959,0.0889823656582062,-0.0466638924609608,-0.086388916352257,-27.29410196698402,2.3579078917357554,0.9822084076779305
Northern Kentucky Norse,Florida State Seminoles,62,74,-12,0,0,-33.0,-21.631450622837026,10.763168854212369,-13.007563570794034,0.521391620011272,-0.0953521085433134,-0.1012574822148548,0.0623954832201958,-0.1396041920332008,0.0605324989806447,-13.528955190805306,-0.81894146629661,1.2900144038312908
Fairleigh Dickinson Knights,Miami Hurricanes,72,113,-41,0,0,-21.5,-12.949672212299715,10.044080475406773,-10.941633335784786,6.007843920668208,-0.0403012417972878,-0.046254077945758,0.0371577523200822,-0.0321756306317793,-0.0385525906660675,-16.949477256452994,0.653446258671853,0.6830849812499423
Radford Highlanders,Pittsburgh Panthers,56,96,-40,0,0,-28.0,-32.734878903888216,17.602145715762035,-24.313642484294277,10.8427442917651,-0.1543921467438718,-0.15229980770249,-0.0772876267793681,-0.0655915683509269,0.2046742638491618,-35.15638677605938,-7.1956075829863595,5.427870026113673
South Carolina Upstate Spartans,NC State Wolfpack,66,97,-31,0,0,-21.6,-10.909097496909324,20.00978176832602,-7.636622522218175,19.064547023257745,-0.007129915239026,-0.0103809415272325,0.026626095254188,-0.0781716255855435,0.0491105982593079,-26.701169545475928,-1.3113104106015352,0.19037707564210576
Coppin State Eagles,Wake Forest Demon Deacons,49,64,-15,0,0,-25.0,-25.17533303213166,17.875283472044075,-20.429159738370927,14.95934582307008,-0.1226161472774032,-0.1259860386381526,-0.0857550703006819,-0.0537777885422671,-0.0713440252633491,-35.38850556144101,2.5247584348076173,4.339202209848853
The Citadel Bulldogs,Boston College Eagles,60,69,-9,0,0,-30.5,-18.138892363153715,18.219953734997503,-14.561869644191887,11.18128380576944,-0.0403707706360763,-0.0478090896525555,0.1946775789580764,0.1008397370087343,-0.1478033787461577,-25.743153449961326,3.80492505948509,1.039270943377705
Delaware State Hornets,Virginia Tech Hokies,60,83,-23,0,0,-25.0,-19.658483997705716,11.266116104451726,-14.985757001550922,7.575200685481221,-0.1268036686362141,-0.1040227886832738,-0.2102614868042434,0.0745638467392357,-0.1211311133231024,-22.560957687032143,2.732833922265609,2.860812202662071
Tarleton State Texans,SMU Mustangs,62,96,-34,0,0,-26.666666666666668,-40.306495285637,12.929059320066727,-29.55582786931403,4.564421025047693,-0.1013850808179491,-0.0964360192134112,-0.0670418375295942,-0.0316238994351308,0.1629359103656234,-34.12024889436172,-5.559413815504483,3.459284191683402
Elon Phoenix,North Carolina Tar Heels,76,90,-14,0,0,-3.5,4.703545974341523,14.228877242638603,4.502866211785559,12.654331075177211,0.0527064479069586,0.041298375488573,0.0052724025833028,-0.098394921513198,0.351207755161813,-8.151464863391652,-2.862857675952177,-0.42963475818775554
Cal State Bakersfield Roadrunners,California Golden Bears,73,86,-13,0,0,-13.0,-9.344939130883176,8.939664670152254,-9.38070848806781,7.968338403323401,0.0193402402200547,-0.0188312494913848,-0.1208070450738714,-0.1021338628829759,-0.0609598147254186,-17.34904689139121,1.0575946841618078,-0.33553473446849924
Campbell Fighting Camels,Virginia Cavaliers,56,65,-9,0,0,-23.0,-7.048526070739371,27.33921679155995,-2.7321444600778335,24.03634728203417,-0.0482127271117083,-0.0471664252230619,0.0040788742939381,-0.0077147881110515,-0.0886216289966278,-26.768491742112,2.372267343968745,1.290581987554463
Stonehill Skyhawks,Notre Dame Fighting Irish,60,89,-29,0,0,-23.75,-22.47803669773458,18.013278573375445,-17.8355071022699,15.350525723913222,-0.0759680161733314,-0.0729361947730043,0.0749440494908489,-0.0181836045812527,0.1045814528343976,-33.18603282618312,-3.470643526772241,2.521077078468186
