team,home_game_id,away_game_id
Abilene Christian Wildcats,"[401715362, 401725378]",[]
Air Force Falcons,[401706876],[]
Alabama A&M Bulldogs,"[401715673, 401714899]",[]
Alabama Crimson Tide,"[401700438, 401707979, 401719212, 401719210, 401724553, 401724555, 401708322, 401708334, 401724556]","[401707850, 401730560, 401719228, 401724531, 401720709, 401715455, 401721036, 401724554, 401708300, 401708324, 401708341, 401708346, 401708360]"
Alabama State Hornets,"[401700449, 401714918, 401715316, 401715632]",[]
Alcorn State Braves,"[401715433, 401707872, 401721284, 401720538, 401706984]",[]
American University Eagles,"[401700436, 401700460]",[]
App State Mountaineers,[401715441],[]
Arizona State Sun Devils,"[401714895, 401722304, 401722309, 401718426, 401725634, 401725652, 401725671, 401725679, 401725695]","[401720869, 401722308, 401715987, 401722305, 401722306, 401729699, 401722307, 401725640, 401725658, 401725665, 401725687, 401725702, 401725714]"
Arizona Wildcats,"[401715442, 401729741, 401715868, 401729746, 401725638, 401725647, 401725670, 401725678, 401725702, 401725711]","[401706885, 401710005, 401706149, 401722310, 401722311, 401722312, 401722313, 401725632, 401725660, 401725664, 401725686, 401725694]"
Arkansas Razorbacks,"[401715678, 401708306, 401708328, 401708336, 401708361, 401708373]","[401707853, 401727356, 401711682, 401727063, 401727079, 401725196, 401727319, 401723726, 401716160, 401721966, 401729285, 401727541, 401708309, 401708316, 401708342, 401708347]"
Arkansas State Red Wolves,[401724531],[]
Arkansas-Pine Bluff Golden Lions,"[401715312, 401715352, 401715627, 401715639, 401706976]",[]
Arlington Baptist Patriots,[401727065],[]
Army Black Knights,[401706882],[]
Auburn Tigers,"[401729694, 401706888, 401706947, 401714643, 401708308, 401708321, 401708333, 401708356, 401708363]","[401714645, 401707982, 401714641, 401714642, 401711733, 401729696, 401714644, 401714646, 401714887, 401708301, 401708325, 401708348, 401708368]"
Austin Peay Governors,"[401715337, 401721949, 401712994]",[]
BYU Cougars,"[401715322, 401706914, 401725639, 401725654, 401725672, 401725680, 401725703]","[401731041, 401706909, 401706910, 401706911, 401706912, 401706913, 401706915, 401706916, 401706917, 401725634, 401725650, 401725662, 401725692, 401725696, 401725711]"
Baylor Bears,"[401727063, 401727062, 401715594, 401715613, 401725644, 401725658, 401725664, 401725689, 401725696, 401725713]","[401729733, 401726427, 401727064, 401720733, 401725378, 401723763, 401727065, 401725635, 401725651, 401725677, 401725685, 401725705]"
Bellarmine Knights,"[401700428, 401706925]",[]
Bethune-Cookman Wildcats,"[401700458, 401707985, 401715394, 401722038, 401715636, 401706995]",[]
Binghamton Bearcats,"[401715675, 401715413]",[]
Boise State Broncos,[401729779],[401700420]
