home_team,away_team,home_score,away_score,point_spread,is_conference,is_neutral,home_advantage,off_eff_diff,def_eff_diff,adj_off_eff_diff,adj_def_eff_diff,efg_pct_diff,ts_pct_diff,threepar_diff,ftr_diff,luck_diff,net_rating_diff,rating_luck_interaction,shooting_strength_interaction
Queens University Royals,Winthrop Eagles,74,81,-7,0,1,7.041666666666666,0.2664955252304111,13.377656743003795,-0.5043494745390973,8.047111611424256,0.0341400002685209,0.0256945026906165,0.0335118558288285,-0.066228930251957,0.3201049609643413,-8.551461085963354,-2.737365117110383,-0.2919468837710349
Bradley Braves,St. Bonaventure Bonnies,63,69,-6,0,1,2.083333333333334,-2.5974916369193863,-4.168284447132791,-0.9311318653940076,-3.4387860042060083,-0.019676960767213,-0.0078552115868454,0.0827094243668011,0.1033982919765724,-0.0213772513106146,2.5076541388120006,-0.05360675272548696,-0.049343012107143036
Arlington Baptist Patriots,East Texas A&M Lions,60,119,-59,0,0,-59.333333333333336,-29.398859143494732,39.18128958129826,-22.465124267604196,39.40130052694384,-0.1285468824502789,-0.1045147624585811,-0.1889278467525115,0.0047050798033608,-0.0012877674071874,-61.866424794548024,0.07966956544962937,7.952736035683785
Texas A&M-San Antonio Jaguars,Lamar Cardinals,53,93,-40,0,0,-49.5,-34.17814875968014,29.345593519151866,-26.386073523991897,30.865123456814132,-0.1258725758009315,-0.1138539459031292,0.06435274761651,0.1043702790565865,0.12503714150726,-57.25119698080603,-7.15852601834906,7.206355631660568
College Of Biblical Studies Ambassadors,Prairie View A&M Panthers,48,95,-47,0,0,-58.77777777777778,-43.57329361011564,32.00570192757037,-32.283898738530056,25.851086232646352,-0.1511511705587552,-0.1758130079657858,0.1361121752226997,-0.2269443200657081,0.1662079025525944,-58.13498497117642,-9.66249391698583,8.787171028808958
Omaha Mavericks,Murray State Racers,77,85,-8,0,1,2.5999999999999996,-9.80039240571341,3.1457438397754345,-14.278905192022734,4.745960865533277,-0.0124463197496206,-0.0238652760295882,-0.0379215681826134,-0.053465578061398,0.0569554436748175,-19.02486605755601,-1.0835696871620786,0.236789566146046
Millsaps Majors,Stephen F. Austin Lumberjacks,76,103,-27,0,0,-27.0,-18.869867787864493,31.444153080398877,-5.876820283994519,21.375876075189268,-0.0260085551625891,-0.0261782967350822,-0.1294554798613119,0.1282253778180273,0.1013176577763595,-27.252696359183787,-2.7611793632028214,0.7088032565871227
Northern Arizona Lumberjacks,Drake Bulldogs,71,77,-6,0,1,-8.141414141414142,-4.253153803461572,8.001125996381887,-6.2427086503845,7.2669973198116224,0.0040598854681183,-0.0077495083756679,-0.0962775019288444,-0.0202528892283531,0.2398399222867914,-13.509705970196125,-3.2401668300092403,-0.05484785894695029
Thomas (ME) Terriers,Stonehill Skyhawks,48,100,-52,0,0,-52.0,-32.896518083326896,28.35667674568448,-24.41351286996936,39.44672780354762,-0.1858907508917535,-0.1698731009491727,0.0975611135152689,0.1018545452227731,0.0005209325499101,-63.86024067351697,-0.033266878011927875,11.871028090928167
Johnson & Wales (NC) JOHNSON & WALES-CHARLOTTE,VMI Keydets,58,122,-64,0,0,-64.0,-27.456409057598098,43.825427171259946,-22.60789052637898,49.00400630728521,-0.0495847725769916,-0.0762062176052455,-0.2028122451514105,-0.2203010327065586,-0.0009674348704963,-71.61189683366419,0.06927984613927031,3.550859618304224
Widener Pride,Drexel Dragons,59,93,-34,0,0,-34.0,-33.787430272195806,12.144835793052565,-27.27069931068654,12.903560746906294,-0.1229980948588259,-0.1302554453666125,-0.1293695250825894,-0.2036697540193073,0.1545886632603151,-40.17426005759283,-6.210485159775545,4.941357449446944
Morgan State Bears,Georgetown Hoyas,70,87,-17,0,0,-8.354545454545454,-8.504134967711579,4.562904342080188,-12.033050249645813,16.590991642573968,-0.008877136875413,-0.0082241204328916,0.0011631545269287,0.0029831404562081,0.1849285471664996,-28.62404189221978,-5.293402481161226,0.2540995378047907
Quinnipiac Bobcats,St. John's Red Storm,74,108,-34,0,0,9.35,-8.4748548332485,2.4661789900757185,-9.848817635242526,10.342764500482645,-0.0210386762569401,-0.0378066857320286,-0.0193517377062336,-0.1183343077798976,0.106160967785318,-20.19158213572517,-2.1435579006453223,0.42480415966893703
Coppin State Eagles,Maryland Terrapins,61,83,-22,0,1,-25.866666666666667,-11.14126601102791,7.938886414568671,-12.201376974957697,16.226793864329622,-0.0177820990227601,-0.0261769710468156,-0.0927198533663956,-0.0469390717437449,-0.0403601653944661,-28.42817083928732,1.1473656769357743,0.5055125489001482
IU Indianapolis Jaguars,Ohio State Buckeyes,102,118,-16,0,0,-4.316666666666666,-9.63654655917584,11.599252930673885,-14.216381684225794,16.573476166059606,-0.0384497550019645,-0.0572905028528523,0.0385566618440256,-0.1658729691711091,0.201056389651602,-30.7898578502854,-6.190497657264419,1.183862490888787
Southern Miss Golden Eagles,Buffalo Bulls,79,85,-6,0,0,4.488095238095237,-13.251386355633088,-4.455322271657877,-8.602041373560922,-1.9605793699490164,-0.0680069678570626,-0.0579547159585535,-0.1378899103638792,-0.0192983825956133,0.0940526401072737,-6.641462003611906,-0.6246470356118435,0.4516656930035375
Furman Paladins,High Point Panthers,71,97,-26,0,1,19.233766233766236,-14.186623184821627,5.275995167773615,-12.016009754545324,0.4786465229709904,-0.0404139403950584,-0.0569694148563317,0.0725766325148467,-0.1475483573023391,-0.0081658407177789,-12.494656277516311,0.10202937298559443,0.5049582940562864
Farmingdale State Rams,Stony Brook Seawolves,59,66,-7,0,0,-7.0,-25.607235806469376,-12.817555486790724,-22.28336660925538,-14.54756588935598,-0.1177417721049567,-0.1395429637718399,-0.1666758244531656,-0.1714803347758011,-0.1509375399772742,-7.735800719899402,1.1676227304160425,0.9108268854117554
Georgia State Panthers,Eastern Michigan Eagles,49,71,-22,0,0,1.1818181818181817,-3.758024730290245,0.8001013025975539,-3.177423183812394,3.121863756770196,-0.0395150760240172,-0.0203064913138519,0.1443231235049543,0.044058612428811,0.136803916588638,-6.299286940582586,-0.8617671251873568,0.24891680235421962
Delaware Blue Hens,Bucknell Bison,70,78,-8,0,0,-13.67142857142857,3.416779865859482,-3.0479609056827144,6.0331108731773355,0.3120529835355796,0.0442684321151576,0.0307580651271428,0.0001571520567824,-0.0256668539879026,-0.1239691080778433,5.721057889641756,-0.7092344438405969,0.2532622628144929
Long Island University Sharks,Notre Dame Fighting Irish,67,89,-22,0,0,0.285714285714286,-1.525050091674956,3.115754202180866,-4.202189118413841,7.446385350616708,0.0013822143302221,-0.0045402292873713,-0.1232225720607234,-0.0025377787404869,0.292971533869479,-11.648574469030551,-3.4127007295847323,-0.016100826557753318
Rider Broncs,Virginia Cavaliers,53,87,-34,0,0,-23.704545454545453,-29.422734390713927,14.822610128380164,-26.81631888064335,21.625411445448933,-0.1389775943106461,-0.1270594740769648,-0.1930180107693475,-0.0526886552395854,0.1902897785064046,-48.44173032609229,-9.217966134219084,6.732315144965376
Vermont State - Johnson Badgers,Central Connecticut Blue Devils,55,117,-62,0,0,-50.0,-34.105062675647034,35.96626309886355,-27.411933244707527,31.412285772899708,-0.1120673352193861,-0.1355997033356488,0.1018577553912272,-0.087542859980429,0.212952865504733,-58.824219017607234,-12.52678600087747,6.592273471664776
New Haven Chargers,UConn Huskies,55,79,-24,0,0,-2.836363636363636,-15.133346573897285,10.57966492496341,-19.155316876948746,21.000030752681084,-0.0466860441892701,-0.0519078786137719,0.0287274213405498,-0.0517922551726585,0.1024164040315989,-40.15534762962983,-4.112566306865476,1.8746943338724007
New Hampshire Wildcats,Clemson Tigers,38,88,-50,0,0,-0.954545454545455,-14.101113364834276,7.948919479970101,-15.624371902937682,14.256140264685172,-0.0569177640317465,-0.0655108199990863,-0.0028265916000589,-0.1057855233523331,0.1403909881263497,-29.880512167622857,-4.1949546289339885,1.7007319407044879
Canisius Golden Griffins,Dayton Flyers,48,88,-40,0,0,-13.138888888888888,-13.83456437751758,10.785678194376558,-12.51557581751507,15.311012306418531,-0.0557419216868391,-0.0709592347323166,-0.0345281766649798,-0.1410904601061274,0.4073386037459608,-27.826588123933604,-11.33484355341705,1.5511074960162339
