home_team,away_team,home_score,away_score,point_spread,is_conference,is_neutral,home_advantage,off_eff_diff,def_eff_diff,adj_off_eff_diff,adj_def_eff_diff,efg_pct_diff,ts_pct_diff,threepar_diff,ftr_diff,luck_diff,net_rating_diff,rating_luck_interaction,shooting_strength_interaction,year
The Citadel Bulldogs,Clemson Tigers,69,80,-11,0,0,-30.333333333333332,-24.119084920899127,29.19914077712656,-14.81812218712345,27.368749394839327,-0.0883647140115078,-0.1184283151222995,0.0110868929259125,-0.1779416275479095,0.1360220111525444,-42.18687158196278,-5.738343116812699,3.727830842380347,2023
Jacksonville Dolphins,Duke Blue Devils,44,71,-27,0,0,-21.5,-35.558703585394056,7.037340668428087,-30.357968929825415,1.7787178288543115,-0.1176482337215035,-0.131836470325907,0.0184888949016268,-0.1944799697915995,0.1142279360861829,-32.13668675867973,-3.670907401092149,3.780824434819899,2023
Stetson Hatters,Florida State Seminoles,83,74,9,0,0,-14.5,0.5450954653072131,16.200897075777206,1.6982106656236198,17.87997704215519,-0.0332409850091185,-0.0313738708896661,0.0974763752258434,-0.03824466419712,0.3396996096877482,-16.18176637653157,-5.496939722166102,0.5378978535433436,2023
UT Martin Skyhawks,Pittsburgh Panthers,58,80,-22,0,0,-13.0,-26.258732744618555,2.157626313451118,-19.635289777930552,-2.327266467653345,-0.0973707346657311,-0.0985521079302995,-0.1605250262578951,0.022827832397136,0.0957863034943152,-17.308023310277207,-1.6578715736848946,1.6852949453332906,2023
Lafayette Leopards,Miami Hurricanes,54,67,-13,0,0,-13.666666666666666,-20.16539343184745,15.594805895362214,-15.91533838417135,9.754882283884823,-0.0843466175267352,-0.1091766132628327,0.2198066934458677,-0.0413183774599471,0.0201552912985688,-25.670220668056174,-0.5173907752632136,2.165196284515427,2023
Clayton State Lakers,Georgia Tech Yellow Jackets,63,93,-30,0,0,-30.0,-10.186170362870868,17.56796501540748,-10.241232740215397,24.12851052926071,-0.0691662683359226,-0.0768177230625217,-0.049085961877253,-0.0788231130200846,-0.0025814710525761,-34.3697432694761,0.0887244973346248,2.377226885613354,2023
Cornell Big Red,Boston College Eagles,77,79,-2,0,0,-6.333333333333333,1.8132359159737348,10.368042805119046,2.666076953151716,2.6353027816006147,0.0353703732036487,0.006300314881687,0.251705722331984,-0.1710964142703437,-0.3724842730684076,0.0307741715511014,-0.0114628949194944,0.0010884939327955,2023
Austin Peay Governors,NC State Wolfpack,50,99,-49,0,0,-36.666666666666664,-40.38841278033384,25.670726816982608,-23.89795304378424,14.565586726915429,-0.2030076197297347,-0.1676091115389469,-0.011877123093948,-0.0149384403986556,0.1550451329170923,-38.46353977069967,-5.963584636209996,7.808391655229725,2023
Lehigh Mountain Hawks,Syracuse Orange,72,90,-18,0,0,-22.0,-20.54737001229344,19.06517418588399,-12.364829379641025,15.209880924932634,-0.0492906763594821,-0.0711108608108078,0.0205057839787262,-0.2180504299234951,0.0227072601511453,-27.574710304573657,-0.6261461204784211,1.3591761213292162,2023
Fairfield Stags,Wake Forest Demon Deacons,59,71,-12,0,0,-12.5,-13.14644512029156,2.3461446218608017,-13.145306177654687,-7.259806727556935,-0.0688647131103417,-0.0685157900016182,0.0065548055162831,-0.0769812651085748,0.0306001127185744,-5.885499450097754,-0.1800969465780989,0.4053032311420557,2023
UNC Wilmington Seahawks,North Carolina Tar Heels,56,69,-13,0,0,-23.333333333333332,-23.2075262666074,20.717148172316328,-16.299078988155898,16.782288623553796,-0.1559221405160494,-0.1440370213594659,-0.054658279424647,-0.0528292043635398,0.1476047859209219,-33.081367611709695,-4.882968184297729,5.158117649216085,2023
North Carolina Central Eagles,Virginia Cavaliers,61,73,-12,0,0,-11.333333333333334,-13.594644890298696,18.34764238839476,-7.453238129695478,11.5358512109824,-0.0244248298112379,-0.0462303896307904,-0.0725283717260091,-0.1721445820641604,-0.0070934737281156,-18.98908934067788,0.1346986063589385,0.4638052754164488,2023
Delaware State Hornets,Virginia Tech Hokies,57,95,-38,0,0,-24.25,-30.327357612215422,17.183953327652077,-22.808082908236287,9.11413988515264,-0.1167766696302661,-0.1135523184735662,-0.099187174382718,-0.0545378184783728,0.1873469110249891,-31.92222279338893,-5.980529833392914,3.72777086500733,2023
Bellarmine Knights,Louisville Cardinals,67,66,1,0,0,-11.25,3.794851450697536,6.20865368389633,5.995641002030979,6.248881079319503,0.0153556983846339,0.0116546165984662,0.0681473515689913,-0.0621955455113311,0.1152894678138919,-0.2532400772885239,-0.0291959137397427,-0.0038886782457439,2023
Lehigh Mountain Hawks,Virginia Tech Hokies,52,78,-26,0,0,-22.0,-22.07854603383109,23.471254127130436,-15.8183924805286,20.279869870676677,-0.0686923083699087,-0.0827770414250875,-0.0703303773214616,-0.1643345866480063,0.1848212002406587,-36.09826235120528,-6.671724174351942,2.479672969046858,2023
Radford Highlanders,Notre Dame Fighting Irish,76,79,-3,0,0,-7.0,-9.331612840238265,-0.0390183563819732,-3.8561608411510946,-6.502859501981163,-0.0509183002918756,-0.0589864500764042,-0.0634378118019379,0.024200429658209,-0.1603851932584429,2.6466986608300687,-0.4244912762140925,-0.1347653971942504,2023
Detroit Mercy Titans,Boston College Eagles,66,70,-4,0,0,-4.0,-7.411144802881339,-3.085792410425597,-6.9653650661198725,-4.081723419105515,0.0027362210158655,-0.0157559364686102,0.182137815222438,-0.1513605415364697,-0.4685046444610169,-2.8836416470143575,1.3509995045874428,-0.0078902808767856,2023
South Carolina Upstate Spartans,Duke Blue Devils,38,84,-46,0,0,-22.25,-22.145636335656175,21.010946416744744,-18.45638809748785,21.45688778083803,-0.0496544943636483,-0.0681835634373581,-0.0264928539943375,-0.0474472301551447,0.1153362773320223,-39.91327587832588,-4.603448655932109,1.981873532135072,2023
Clemson Tigers,South Carolina Gamecocks,58,60,-2,0,0,11.0989010989011,11.604492103493868,-12.218081451638838,5.202006599760651,-10.6946902371201,0.0764699423942951,0.0955134711771586,-0.0087136519253958,0.0739967504739461,-0.3643445318023717,15.89669683688075,-5.79187456623756,1.215619491375844,2023
Florida State Seminoles,UCF Knights,54,68,-14,0,0,-7.916666666666667,3.223493170804886,15.520609542872576,0.6560833790532428,19.29454829540194,0.0397486173925759,0.0325453093054789,-0.0235474126037626,0.0411910435283632,0.2857817656753845,-18.638464916348696,-5.326533413272838,-0.7408532107448935,2023
UNC Greensboro Spartans,Miami Hurricanes,65,79,-14,0,0,-10.5,-24.783830469584142,1.6157306358810786,-16.420530520670397,-5.428363168324594,-0.1166162588449387,-0.1288787987051144,0.0590500978776494,-0.1040196957571898,-0.0204616007781821,-10.992167352345804,0.2249173400506667,1.2818654332280428,2023
Campbell Fighting Camels,NC State Wolfpack,67,73,-6,0,0,-6.0,-17.08948621461873,6.517281556441162,-7.298941689490306,-4.193346436741976,0.0503426463563805,-0.0014596191839657,-0.013187762140436,0.0424481981200582,-0.0454994789328968,-3.1055952527483317,0.141302965776527,-0.1563438835351633,2023
Charleston Cougars,North Carolina Tar Heels,86,102,-16,0,0,-14.0,0.6637302770339204,18.473664008013188,4.939256472901704,13.778175391215925,0.0620624234800932,0.0301150129031666,-0.0010295949849795,-0.2422008606497323,0.485887399129058,-8.83891891831422,-4.294719324332323,-0.5485647290146245,2023
West Virginia Mountaineers,Pittsburgh Panthers,81,56,25,0,0,13.0989010989011,0.8870788557727565,-0.3250874066368965,1.925660579780157,-1.4115968585832803,-0.0005132574972858,0.0098169334032048,-0.1244726148259892,0.1248383692463668,-0.0616509494096536,3.3372574383634372,-0.2057450894995344,-0.0017128724006128,2023
Georgia Bulldogs,Wake Forest Demon Deacons,71,81,-10,0,0,-3.583333333333334,-9.018839323491193,-4.062623287211764,-8.763437170984929,0.5504982426072189,-0.0685651375607984,-0.0560392011921015,-0.0487864545244008,0.0446960424232037,0.2627968677084211,-9.313935413592148,-2.447673052730554,0.6386112628653374,2023
Monmouth Hawks,Virginia Cavaliers,42,89,-47,0,0,-31.75,-28.208199054632654,32.558345794779385,-18.90951770407557,27.44345459746671,-0.085600626482296,-0.0823296945714987,-0.0514521087801159,-0.0142386480792807,0.0607619864505668,-46.35297230154228,-2.8164986749298104,3.9678434683285326,2023
Wright State Raiders,Louisville Cardinals,73,72,1,0,0,1.0,2.7150823608571812,-15.596095193227086,-2.453327053385024,-4.427181438091637,0.0399999551609143,0.001405006154748,-0.1160306193091095,-0.1832990427812302,0.3777361214105054,1.9738543847066128,0.7455960995081955,0.0789540868824386,2023
Georgia Tech Yellow Jackets,Georgia State Panthers,59,57,2,0,0,-8.971153846153847,8.187713127903365,6.483029906414458,3.1485943838962385,6.56061211727409,0.0649769156438476,0.0430678689376666,0.0940129344811767,-0.1206583492562959,0.2418355434056173,-3.4120177333778514,-0.8251471626610354,-0.2217023884370047,2023
Youngstown State Penguins,Notre Dame Fighting Irish,81,88,-7,0,0,-7.0,5.409173989583053,18.67643145868496,1.6597297363677654,12.45691609678336,0.0301003044555426,0.0223036132871672,-0.0728098584621201,-0.0910068991084417,-0.1603851932584429,-10.797186360415594,1.7317088210626788,-0.3249985967117413,2023
William & Mary Tribe,Virginia Tech Hokies,77,94,-17,0,0,-18.0,-9.496637841980984,30.501086560544863,-2.5933438094606345,22.145213981831688,-0.0439282486827145,-0.0510148202228912,-0.040952419241678,0.0291530201309423,0.1754895503402629,-24.73855779129232,-4.341358382860497,1.0867215187075934,2023
