game_id,game_day,home_team,away_team,home_score,away_score,is_conference,is_neutral,tournament
401715692,2024-11-04,Denver Pioneers,Stanford Cardinal,62,85,False,False,
401700417,2024-11-04,Charleston Southern Buccaneers,Clemson Tigers,64,91,False,False,
401700426,2024-11-04,Morehead State Eagles,Louisville Cardinals,45,93,False,False,
401706881,2024-11-04,Maine Black Bears,Duke Blue Devils,62,96,False,False,
401706892,2024-11-04,Le Moyne Dolphins,Syracuse Orange,82,86,False,False,
401715651,2024-11-04,Northern Kentucky Norse,Florida State Seminoles,62,74,False,False,
401715674,2024-11-04,Fairleigh Dickinson Knights,Miami Hurricanes,72,113,False,False,
401715687,2024-11-04,Radford Highlanders,Pittsburgh Panthers,56,96,False,False,
401719267,2024-11-04,South Carolina Upstate Spartans,NC State Wolfpack,66,97,False,False,
401700461,2024-11-04,Coppin State Eagles,Wake Forest Demon Deacons,49,64,False,False,
401706868,2024-11-04,The Citadel Bulldogs,Boston College Eagles,60,69,False,False,
401706900,2024-11-04,Delaware State Hornets,Virginia Tech Hokies,60,83,False,False,
401700442,2024-11-04,Tarleton State Texans,SMU Mustangs,62,96,False,False,
401700434,2024-11-04,Elon Phoenix,North Carolina Tar Heels,76,90,False,False,
401719347,2024-11-04,Cal State Bakersfield Roadrunners,California Golden Bears,73,86,False,False,
401700452,2024-11-06,Campbell Fighting Camels,Virginia Cavaliers,56,65,False,False,
401715681,2024-11-06,Stonehill Skyhawks,Notre Dame Fighting Irish,60,89,False,False,
401715667,2024-11-06,West Georgia Wolves,Georgia Tech Yellow Jackets,62,85,False,False,
401700462,2024-11-07,North Carolina A&T Aggies,Wake Forest Demon Deacons,64,80,False,False,
401700443,2024-11-07,Florida A&M Rattlers,SMU Mustangs,73,102,False,False,
401719348,2024-11-07,Cal Poly Mustangs,California Golden Bears,73,91,False,False,
401715693,2024-11-08,Cal State Fullerton Titans,Stanford Cardinal,53,80,False,False,
401700408,2024-11-08,Boston College Eagles,VCU Rams,55,80,False,True,Veterans Classic
401706882,2024-11-08,Army Black Knights,Duke Blue Devils,58,100,False,False,
401700418,2024-11-08,Saint Francis Red Flash,Clemson Tigers,62,88,False,False,
401700435,2024-11-08,North Carolina Tar Heels,Kansas Jayhawks,89,92,False,False,
401706901,2024-11-08,South Carolina Upstate Spartans,Virginia Tech Hokies,74,93,False,False,
401715688,2024-11-08,Murray State Racers,Pittsburgh Panthers,68,83,False,False,
401720475,2024-11-08,Presbyterian Blue Hose,NC State Wolfpack,72,81,False,False,
401700427,2024-11-09,Tennessee Volunteers,Louisville Cardinals,77,55,False,False,
401715652,2024-11-09,Florida State Seminoles,Rice Owls,73,65,False,True,Mattress Firm Battleground 2k24
401700463,2024-11-10,Michigan Wolverines,Wake Forest Demon Deacons,70,72,False,True,
401711744,2024-11-10,North Florida Ospreys,Georgia Tech Yellow Jackets,105,93,False,False,
401715675,2024-11-10,Binghamton Bearcats,Miami Hurricanes,64,88,False,False,
401700453,2024-11-11,Coppin State Eagles,Virginia Cavaliers,45,62,False,False,
401706902,2024-11-11,Winthrop Eagles,Virginia Tech Hokies,52,58,False,False,
401715682,2024-11-11,Buffalo Bulls,Notre Dame Fighting Irish,77,86,False,False,
401715689,2024-11-11,Gardner-Webb Runnin' Bulldogs,Pittsburgh Panthers,64,83,False,False,
401700444,2024-11-11,UNC Greensboro Spartans,SMU Mustangs,68,81,False,False,
401700419,2024-11-12,Eastern Kentucky Colonels,Clemson Tigers,62,75,False,False,
401706893,2024-11-12,Colgate Raiders,Syracuse Orange,72,74,False,False,
401715653,2024-11-12,Tarleton State Texans,Florida State Seminoles,52,72,False,False,
401715668,2024-11-12,Texas Southern Tigers,Georgia Tech Yellow Jackets,62,81,False,False,
401706883,2024-11-12,Duke Blue Devils,Kentucky Wildcats,72,77,False,True,State Farm Champions Classic
401715694,2024-11-12,Northern Arizona Lumberjacks,Stanford Cardinal,64,90,False,False,
401700464,2024-11-13,South Carolina Upstate Spartans,Wake Forest Demon Deacons,80,85,False,False,
401724535,2024-11-13,Coastal Carolina Chanticleers,NC State Wolfpack,70,82,False,False,
401719349,2024-11-13,California Golden Bears,Vanderbilt Commodores,69,85,False,False,
401700454,2024-11-15,Virginia Cavaliers,Villanova Wildcats,70,60,False,True,Hall of Fame Series - Baltimore
401714891,2024-11-15,Florida Gators,Florida State Seminoles,87,74,False,False,
401700445,2024-11-15,SMU Mustangs,Butler Bulldogs,70,81,False,False,
401706869,2024-11-15,Temple Owls,Boston College Eagles,69,72,False,False,
401706903,2024-11-15,Virginia Tech Hokies,Penn State Nittany Lions,64,86,False,True,Hall of Fame Series - Baltimore
401700436,2024-11-15,American University Eagles,North Carolina Tar Heels,55,107,False,False,
401706992,2024-11-15,West Virginia Mountaineers,Pittsburgh Panthers,62,86,False,False,
401714898,2024-11-15,Georgia Bulldogs,Georgia Tech Yellow Jackets,77,69,False,False,
401700465,2024-11-16,Wake Forest Demon Deacons,Xavier Musketeers,60,75,False,False,Skip Prosser Classic
401706884,2024-11-16,Wofford Terriers,Duke Blue Devils,35,86,False,False,
401715468,2024-11-16,Notre Dame Fighting Irish,Georgetown Hoyas,84,63,False,False,
401724988,2024-11-16,Youngstown State Penguins,Syracuse Orange,95,104,False,False,
401700420,2024-11-17,Clemson Tigers,Boise State Broncos,71,84,False,False,
