post_team,matched_pre_team,score
Baylor,Baylor Bears,90.0
Boston College,Boston College Eagles,90.0
Clemson,Clemson Tigers,90.0
Duke,Duke Blue Devils,90.0
Florida State,Florida State Seminoles,90.0
Georgia Tech,Georgia Tech Yellow Jackets,90.0
Louisville,Louisville Cardinals,90.0
NC State,NC State Wolfpack,90.0
Ohio State,Ohio State Buckeyes,90.0
SMU,SMU Mustangs,90.0
Stanford,Stanford Cardinal,90.0
Syracuse,Syracuse Orange,90.0
Virginia Tech,Virginia Tech Hokies,90.0
Wake Forest,Wake Forest Demon Deacons,90.0
California Golden Bears,California Golden Bears,100.0
Miami Hurricanes,Miami Hurricanes,100.0
Michigan Wolverines,Michigan Wolverines,100.0
North Carolina Tar Heels,North Carolina Tar Heels,100.0
Notre Dame Fighting Irish,Notre Dame Fighting Irish,100.0
Pittsburgh Panthers,Pittsburgh Panthers,100.0
Virginia Cavaliers,Virginia Cavaliers,100.0
