team,home_game_id,away_game_id
Baylor Bears,"[401831219, 401819829, 401827597, 401827618, 401827624]","[401819823, 401819824, 401819825, 401819826, 401819827, 401819828, 401819830, 401819831, 401819832, 401819833, 401827605, 401827609, 401827632, 401827641]"
Boston College Eagles,"[401817211, 401817213, 401820645, 401820659, 401820667, 401820692]","[401817212, 401812644, 401817214, 401809311, 401831228, 401812606, 401806378, 401817215, 401817216, 401812313, 401817217, 401820651, 401820674, 401820684]"
California Golden Bears,"[401817221, 401820654, 401820665, 401820695]","[401817218, 401817219, 401817220, 401817222, 401817223, 401813762, 401817224, 401817225, 401820295, 401817226, 401813282, 401817227, 401820634, 401820642, 401820666, 401820675]"
Clemson Tigers,"[401812919, 401831230, 401806376, 401812923, 401820640, 401820647, 401820662, 401820690]","[401812916, 401812917, 401812918, 401812920, 401809308, 401827173, 401812924, 401812925, 401812926, 401820652, 401820667, 401820676, 401820685]"
Duke Blue Devils,"[401817230, 401817234, 401817235, 401820644, 401820650, 401820666, 401820681]","[401817228, 401817229, 401817231, 401817232, 401813377, 401817233, 401806364, 401817236, 401817237, 401820636, 401820657, 401820689]"
Florida State Seminoles,"[401826707, 401824813, 401813443, 401820639, 401820673, 401820686, 401820694]","[401826705, 401826706, 401826708, 401826709, 401823735, 401826710, 401806369, 401826711, 401826712, 401823350, 401820644, 401820658, 401820677]"
Georgia Tech Yellow Jackets,"[401826713, 401825573, 401830884, 401820636, 401820660, 401820678]","[401820296, 401820614, 401808950, 401826714, 401825386, 401806377, 401824865, 401813326, 401826755, 401826756, 401820645, 401820653, 401820668, 401820690]"
Louisville Cardinals,"[401817243, 401806374, 401817248, 401820634, 401820643, 401820679]","[401817239, 401817240, 401817241, 401817242, 401817244, 401817245, 401817246, 401817247, 401817249, 401820650, 401820659, 401820669, 401820691]"
Miami Hurricanes,"[401809416, 401830887, 401806371, 401820656, 401820670, 401820676, 401820696]","[401809413, 401809414, 401809415, 401809417, 401809418, 401809419, 401809420, 401809421, 401809422, 401809423, 401820637, 401820660, 401820686]"
Michigan Wolverines,"[401812252, 401825408, 401825423, 401825445, 401825450]","[401826083, 401817529, 401822996, 401823764, 401823479, 401831214, 401825400, 401823566, 401822185, 401826084, 401825411, 401825432, 401825456, 401825464]"
NC State Wolfpack,"[401831198, 401831202, 401806373, 401820651, 401820658, 401820685, 401820693]","[401817252, 401817253, 401817254, 401817255, 401817256, 401817257, 401817258, 401817259, 401817260, 401817261, 401820638, 401820646, 401820678]"
North Carolina Tar Heels,"[401806365, 401809307, 401820648, 401820672, 401820675, 401820697]","[401817262, 401817263, 401817264, 401817265, 401817266, 401817198, 401817267, 401817268, 401817269, 401817270, 401817271, 401820639, 401820661, 401820687]"
Notre Dame Fighting Irish,"[401817434, 401817436, 401831217, 401812254, 401820635, 401820642, 401820682, 401820687]","[401812350, 401817132, 401817433, 401817435, 401817437, 401806368, 401817438, 401817439, 401817440, 401820662, 401820670, 401820692]"
Ohio State Buckeyes,"[401817447, 401825399, 401825413, 401825429, 401825437, 401825464]","[401823374, 401823392, 401826733, 401817434, 401827255, 401813401, 401825404, 401819921, 401809307, 401827093, 401825420, 401825449, 401825457]"
Pittsburgh Panthers,"[401817444, 401817445, 401817449, 401817451, 401820637, 401820668, 401820684]","[401817441, 401817442, 401817443, 401809077, 401817446, 401817447, 401806367, 401817448, 401817450, 401820647, 401820663, 401820679, 401820693]"
SMU Mustangs,"[401817459, 401806375, 401817461, 401820652, 401820657, 401820683]","[401817452, 401817453, 401817454, 401817455, 401817456, 401817457, 401817458, 401817460, 401817462, 401817463, 401820648, 401820671, 401820680, 401820694]"
Stanford Cardinal,"[401817469, 401830750, 401817472, 401817474, 401820655, 401820664]","[401817464, 401817465, 401817466, 401817467, 401817468, 401817470, 401817471, 401817473, 401817475, 401820635, 401820643, 401820672, 401820681, 401820695]"
Syracuse Orange,"[401817481, 401817482, 401831216, 401820653, 401820663, 401820674]","[401817476, 401817477, 401817478, 401817479, 401806366, 401817480, 401817483, 401817484, 401817485, 401817486, 401820640, 401820673, 401820688, 401820696]"
Virginia Cavaliers,"[401806379, 401820641, 401820646, 401820669, 401820680]","[401812625, 401817487, 401817488, 401817489, 401817490, 401817491, 401817492, 401813441, 401817513, 401817514, 401817515, 401820654, 401820664, 401820697]"
Virginia Tech Hokies,"[401817522, 401830878, 401806372, 401820649, 401820671, 401820688, 401820691]","[401817517, 401817518, 401817519, 401817520, 401817521, 401830753, 401817523, 401817524, 401817525, 401817526, 401820641, 401820655, 401820665, 401820682]"
Wake Forest Demon Deacons,"[401817529, 401817531, 401823638, 401817534, 401820638, 401820661, 401820677, 401820689]","[401817527, 401817528, 401817530, 401817532, 401817533, 401806370, 401817535, 401817536, 401817537, 401820649, 401820656, 401820683]"
