Away,Home
Syracuse,Virginia
Louisville,Wake Forest
Virginia Tech,NC State
Miami,Boston College
SMU,Pitt
Florida State,Notre Dame
Duke,North Carolina
Clemson,California
Georgia Tech,Stanford
NC State,Louisville
Virginia,Florida State
North Carolina,Miami
Notre Dame,SMU
Duke,Pitt
Virginia Tech,Clemson
California,Syracuse
Stanford,Boston College
Wake Forest,Georgia Tech
Clemson,Duke
Georgia Tech,Notre Dame
California,Boston College
Florida State,Virginia Tech
Pitt,North Carolina
SMU,Syracuse
Miami,NC State
Stanford,Wake Forest
Baylor,Louisville
Ohio State,Virginia
Syracuse,Duke
Boston College,Florida State
North Carolina,NC State
Louisville,SMU
Virginia Tech,Miami
Clemson,Wake Forest
Virginia,Georgia Tech
Wake Forest,Virginia Tech
Florida State,Clemson
North Carolina,Syracuse
Notre Dame,Pitt
Miami,Virginia
Georgia Tech,Louisville
Boston College,SMU
Stanford,California
Michigan,Duke
Louisville,North Carolina
Duke,Notre Dame
Wake Forest,Boston College
NC State,Virginia
Miami,Florida State
Pitt,Stanford
SMU,California
Virginia,Duke
Florida State,Georgia Tech
NC State,Notre Dame
Boston College,Miami
Pitt,California
Syracuse,Wake Forest
SMU,Stanford
Louisville,Clemson
Virginia Tech,North Carolina
Duke,NC State
Wake Forest,Virginia
Clemson,North Carolina
Syracuse,Louisville
Boston College,Virginia Tech
California,Georgia Tech
Miami,SMU
Stanford,Notre Dame
Florida State,Pitt
Notre Dame,Boston College
Georgia Tech,Clemson
Virginia Tech,Virginia
SMU,Florida State
Louisville,Miami
Stanford,NC State
California,Wake Forest
Pitt,Syracuse
North Carolina,Duke
